T,gebruik waterstof,waterstof stock,cashflow WA,TMK bot,TMK top,onbalansstroom inkopen PL,onbalansstroom verkopen PL
386,39.229988,0,131965.5,392.299866,82014.5,0,0
387,0,0,180537.6406,0,130586.6484,0,0
388,0,40,94440.76563,0,44490.16797,0,180.199997
389,0,80,121170.7422,0,71220.53906,0,210.199997
390,0,120,58735.83203,0,8786.032227,0,63.200001
391,0,153.098587,47935.14844,0,-2014.319702,0,0
392,0,193.098587,79268.45313,0,29319.38281,0,143.199997
393,40,126.298592,222180.0469,400,172230.3125,298,0
394,0,163.622543,158222.1563,0,108272.7891,0,0
395,40,96.822548,99557.64844,400,49607.61328,153,0
396,0,136.82254,83509.09375,0,33559.46094,0,53.200001
397,0,136.82254,181259.0469,0,131309.4219,304,0
398,0,136.82254,66675.59375,0,16725.96484,0,149
399,0,136.82254,77564,0,27614.36914,0,190
400,13.713426,113.92112,126894.5703,137.134262,76944.71094,173.286575,0
401,0,153.921112,71361.32031,0,21411.85742,0,69.200005
402,0,172.230972,84757.15625,0,34807.875,0,0
403,40,105.430977,70599.60156,400,20649.65234,34,0
404,0,133.599991,67507.45313,0,17557.78906,0,0
405,40,66.799995,58698.64844,400,8748.318359,41,0
406,40,0,44942.19922,399.999969,-5008.802246,45,0
407,0,40,97123.59375,0,47172.98828,0,71.200005
408,0,80,125114.8984,0,75164.69531,0,181.199997
409,0,91.971832,37527.55078,0,-12422.5293,0,0
410,20.386864,57.92577,14879.31055,203.868652,-35071.10938,3.613135,0
411,0,97.925766,17239.99023,0,-32710.03125,0,18.200003
412,0,97.925766,15886,0,-34064.01953,55,0
413,0,97.925766,20022.19922,0,-29927.82227,58,0
414,0,97.925766,7401.450195,0,-42548.57031,0,1
415,0,97.925766,5089.649902,0,-44860.37109,26,0
416,0,97.925766,4124.149902,0,-45825.87109,22,0
417,0,114.122948,3727.75,0,-46222.10938,0,0
418,0,120.460976,5503.300293,0,-44446.49609,0,0
419,0,120.460976,7439.249512,0,-42510.54688,36,0
420,0,148.62999,9558.050781,0,-40391.46484,0,0
421,0,148.62999,9853.25,0,-40096.26563,13,0
422,0,148.62999,15388.64941,0,-34560.86328,54,0
423,27.433832,102.815491,21156.06641,274.338318,-28793.9043,37.566166,0
424,0,116.19577,26493.20117,0,-23456.63672,0,0
425,4,109.51577,8381.5,40,-41568.40625,0,0
426,31,57.74577,7818.5,310,-42131.92188,0,0
427,7,46.055771,4812.25,70,-45138.28906,0,0
428,0,46.759995,16595,0,-33355.53125,0,0
429,27.999998,0,19945.59961,279.999969,-30005.40039,0.000003,0
430,0,7.042254,15297.9502,0,-34652.98047,0,0
431,0,34.507042,15707.05078,0,-34243.60547,0,0
432,0,34.507042,22653,0,-27297.6543,75,0
433,2.567263,30.219713,20807.08594,25.672628,-29143.61133,15.432737,0
434,0,30.219713,18618.30078,0,-31332.39648,81,0
435,0,30.219713,18798.5,0.000001,-31152.19727,6,0
436,0,30.219713,25341.69922,0.000001,-24608.99805,43,0
437,0,45.008446,18431.45117,0.000003,-31519.09961,0,0
438,0,85.008446,19612.07031,0,-30338.08008,0,11.200002
439,0,115.290138,33128.30078,0,-16821.54688,0,0
440,0.000001,115.994362,51590.5,0.000014,1640.658447,0,0
441,0,133.599991,61981.25,0,12031.58594,0,0
442,40,66.799995,42472.44922,400,-7477.880859,64,0
443,40,0,39431.39844,399.999969,-10519.60059,32,0
444,0,2.112676,37960.5,0,-11990.47852,0,0
445,0,39.436623,42454.5,0,-7496.105469,0,0
446,0,45.774651,33470.5,0,-16480.04297,0,0
447,0,85.774651,35731.71094,0,-14218.43164,0,29.200003
448,0,125.774651,33170.51953,0,-16779.2207,0,14.200002
449,0,151.12677,36960.44922,0,-12989.03809,0,0
450,0,177.183105,31160.75,0,-18788.47852,0,0
451,0,203.239441,33508.64844,0,-16440.31836,0,0
452,11,184.869446,38457.5,110,-11491.65137,0,0
453,40,118.06945,41937.05078,400,-8012.769043,39,0
454,39.134109,52.715492,43631.94922,391.341095,-6318.522949,22.865892,0
455,0,66.800003,31545.75,0,-18404.58203,0,0
456,40,0.000005,31517.25,400,-18433.75,85,0
457,0,0.000005,21129.95117,0,-28821.04883,37,0
458,0,38.028175,14234,0,-35716.62109,0,0
459,22.771362,0,15939.74023,227.713638,-34011.25781,26.228638,0
460,0,28.169016,14115.5,0,-35835.21875,0,0
461,9,13.139016,14886.60059,90,-35064.26953,0,0
462,0,39.195354,12566.9502,0,-37383.66016,0,0
463,0,39.195354,9684.450195,0,-40266.15625,18,0
464,0,57.505215,9826.25,0,-40124.17578,0,0
465,31.290466,5.250136,12723.80957,312.904663,-37227.13672,7.709533,0
466,0,8.771263,9718.049805,0,-40232.86328,0,0
467,0,24.968447,8779.950195,0.000004,-41170.80078,0,0
468,0,39.052956,10128.25,0.000004,-39822.35938,0,0
469,0.000002,53.137463,8515,0.000019,-41435.46875,0,0
470,0,93.137466,-939.850037,0,-50889.91797,0,24.200003
471,11.000006,74.767464,5217.75,110.000053,-44732.50391,0,0
472,0.000002,78.992813,6842.699707,0.00002,-43107.51172,0,0
473,0,95.189995,6693.25,0,-43256.79688,0,0
474,17,66.799995,12257.75,170,-37692.58203,0,0
475,40,0,18751,399.999969,-31200,6.000002,0
476,0,1.408451,13100.75,0,-36850.23438,0,0
477,0,7.042253,15420.5,0,-34530.42969,0,0
478,0,7.042253,9339,0,-40611.92969,0,0
479,0,19.014086,4588.25,0,-45362.55859,0,0
480,0,32.394367,5344.850098,0,-44605.82422,0,0
481,0,34.507042,9103.75,0,-40846.90625,0,0
482,0,58.450706,7635.499512,0,-42314.91406,0,0
483,0,88.732399,15208,0,-34742.11328,0,0
